sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
A1	53374	44604	83.57	38003	30594	57.32	30038	56.28
A2	42304	34589	81.76	29529	24156	57.1	23971	56.66
A3	58954	45886	77.83	39539	32448	55.04	31950	54.19
A4	550277	431115	78.35	423348	398304	72.38	367162	66.72
A5	978497	768889	78.58	759181	712642	72.83	644316	65.85
A6	331131	254458	76.85	253328	250086	75.52	245907	74.26
A7	30060	20821	69.26	20634	20362	67.74	20249	67.36
A8	42169	24791	58.79	23226	21293	50.49	20268	48.06
A9	65928	55560	84.27	52337	46761	70.93	39123	59.34
A10	64985	40328	62.06	38489	35548	54.7	34666	53.34
A11	64225	56238	87.56	52767	47920	74.61	40339	62.81
A12	43983	36030	81.92	33959	31533	71.69	29303	66.62
A13	63747	48273	75.73	46793	44668	70.07	44296	69.49
A14	66846	56705	84.83	55955	54897	82.12	54719	81.86
A15	67818	53049	78.22	51504	49484	72.97	49183	72.52
A16	95016	62772	66.06	61775	59655	62.78	58711	61.79
A17	1977046	1530415	77.41	1490862	1341258	67.84	1011538	51.16
A18	196172	161652	82.4	151698	134117	68.37	116247	59.26
A19	58090	50589	87.09	47231	41489	71.42	31183	53.68
A20	84108	74330	88.37	70840	62981	74.88	43809	52.09
A21	84638	72889	86.12	69194	61002	72.07	45669	53.96
A22	79361	69158	87.14	66666	59647	75.16	41977	52.89
A23	50365	42606	84.59	40902	36671	72.81	27478	54.56
A24	57732	50305	87.14	48274	43100	74.66	30156	52.23
B1	347684	292361	84.09	286006	259582	74.66	172108	49.5
B2	92204	69232	75.09	67188	62319	67.59	50307	54.56
B3	64948	48912	75.31	47568	44396	68.36	35951	55.35
B4	51962	41311	79.5	34557	27908	53.71	27116	52.18
B5	46067	36601	79.45	31884	26395	57.3	26037	56.52
B6	46809	39824	85.08	33957	27809	59.41	26486	56.58
B7	46991	38390	81.7	36090	31791	67.65	29552	62.89
B8	73491	60620	82.49	56858	50909	69.27	47371	64.46
B9	71856	59622	82.97	55796	49459	68.83	45357	63.12
B10	104383	86189	82.57	83470	76933	73.7	66531	63.74
B11	49370	41379	83.81	39720	36331	73.59	32123	65.07
B12	25244	18845	74.65	17969	16940	67.11	16251	64.38
B13	67484	58983	87.4	57306	52951	78.46	41962	62.18
B14	64828	58446	90.16	57027	53803	82.99	44280	68.3
B15	52727	47435	89.96	46330	43502	82.5	37621	71.35
B16	36497	27655	75.77	27578	27376	75.01	27354	74.95
B17	61116	49523	81.03	48080	45818	74.97	41395	67.73
B18	47426	33818	71.31	33728	33424	70.48	33303	70.22
B19	121791	85024	69.81	81148	74357	61.05	68103	55.92
B20	66797	56165	84.08	52499	47651	71.34	41082	61.5
B21	57380	50567	88.13	47145	42454	73.99	37145	64.74
B22	38057	30574	80.34	30285	29480	77.46	28232	74.18
B23	37869	27093	71.54	27000	26430	69.79	26225	69.25
B24	47819	37034	77.45	36931	36201	75.7	36143	75.58
