index,d__Archaea;__,d__Archaea;p__Aenigmarchaeota,d__Archaea;p__Asgardarchaeota,d__Archaea;p__Crenarchaeota,d__Archaea;p__Euryarchaeota,d__Archaea;p__Hadarchaeota,d__Archaea;p__Micrarchaeota,d__Archaea;p__Nanoarchaeota,d__Archaea;p__Thermoplasmatota,d__Bacteria;__,d__Bacteria;p__Abditibacteriota,d__Bacteria;p__Acetothermia,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Aerophobota,d__Bacteria;p__AncK6,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Caldatribacteriota,d__Bacteria;p__Caldisericota,d__Bacteria;p__Calditrichota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Cloacimonadota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Dadabacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Dependentiae,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__FCPU426,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__GAL15,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Halanaerobiaeota,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__LCP-89,d__Bacteria;p__Latescibacterota,d__Bacteria;p__MBNT15,d__Bacteria;p__Margulisbacteria,d__Bacteria;p__Marinimicrobia_(SAR406_clade),d__Bacteria;p__Methylomirabilota,d__Bacteria;p__Myxococcota,d__Bacteria;p__NB1-j,d__Bacteria;p__Nitrospirota,d__Bacteria;p__PAUC34f,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Poribacteria,d__Bacteria;p__Proteobacteria,d__Bacteria;p__RCP2-54,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Spirochaetota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Sva0485,d__Bacteria;p__Synergistota,d__Bacteria;p__Thermotogota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__WPS-2,d__Bacteria;p__WS1,d__Bacteria;p__WS2,d__Bacteria;p__Zixibacteria,sample_type,site
A1,0,0,0,32,0,0,0,0,0,30,3,0,4997,6365,0,0,87,1460,103,0,0,0,0,817,0,53,0,0,2,100,29,0,16,3,112,0,0,854,0,0,0,85,0,0,0,77,1724,2,24,0,2,1278,0,8253,34,4,5,0,0,0,0,3470,7,0,10,0,1,A
A2,0,0,0,11,0,0,0,0,0,16,0,0,3925,3431,0,0,111,1220,133,0,0,0,0,488,0,67,0,2,12,131,35,10,13,16,9,0,0,749,0,0,0,62,0,0,0,31,1794,0,79,0,0,1260,0,7210,11,12,6,0,0,0,0,3112,15,0,0,0,1,A
A3,0,0,0,15,0,0,0,0,0,79,0,0,4949,5578,0,0,175,1546,92,0,0,0,0,732,0,103,0,0,17,119,62,0,8,20,45,0,0,952,0,0,0,106,0,0,0,30,2034,0,97,0,19,1847,0,9761,8,3,12,3,0,0,0,3494,36,0,8,0,1,A
A4,0,54,0,6868,11,0,42,608,200,3403,66,0,51359,101901,0,8,804,6552,1528,0,0,107,0,15146,0,960,236,0,130,2072,698,149,73,39,800,0,386,3610,4,59,195,3397,2861,27,0,14341,9302,2549,8765,7,598,13578,0,102492,225,1960,26,243,6,0,0,7815,67,0,439,396,1,A
A5,0,94,0,3382,0,0,3,337,167,4473,406,0,148747,193558,23,20,3567,6456,1198,3,0,69,0,18435,0,998,600,0,534,4508,497,95,19,53,710,0,664,2830,0,150,147,2250,3110,0,0,15470,6419,1149,4045,0,1096,23052,8,178812,279,5493,38,68,0,0,0,8653,57,10,1242,322,1,A
A6,0,0,0,985,0,0,14,0,75,2581,0,0,65048,26048,0,0,442,2536,97,0,0,0,166,5836,0,3511,0,515,1185,0,200,0,0,0,3581,154,408,694,0,0,0,410,0,0,0,6361,740,172,519,0,328,14834,0,100734,0,3926,0,0,0,0,0,3807,0,0,0,0,1,A
A7,0,15,0,221,0,0,0,0,3,177,156,0,8021,614,0,0,526,594,46,0,0,0,0,844,0,398,54,0,32,256,0,0,0,0,134,0,7,20,0,0,0,68,32,0,0,301,82,63,139,0,7,1808,0,5062,0,100,0,0,12,22,0,435,0,0,0,0,1,A
A8,0,7,0,1028,0,0,0,86,0,77,9,0,1881,5188,0,3,12,211,22,0,0,0,0,482,0,59,11,0,8,134,10,10,0,3,74,0,26,204,0,19,4,273,52,0,0,841,246,62,428,0,5,283,0,7988,10,28,0,2,0,0,0,426,0,0,6,50,1,A
A9,0,37,0,1275,0,0,0,121,2,161,0,0,3810,11785,0,6,29,366,57,0,0,0,0,687,0,120,22,0,0,168,39,15,0,5,175,0,48,207,0,12,10,587,36,0,0,1519,528,146,875,9,43,881,0,14472,8,31,0,4,0,0,0,739,0,0,9,79,1,A
A10,0,47,0,955,0,0,0,97,0,277,0,0,3737,10104,0,0,54,311,40,0,0,0,0,778,0,175,35,0,15,196,34,12,0,0,33,0,18,273,0,6,4,421,127,0,0,969,298,171,943,0,27,993,0,12604,8,36,2,10,0,0,0,738,0,0,6,112,1,A
A11,0,28,0,1399,0,0,0,104,10,235,0,0,2536,14114,0,3,55,334,47,0,0,0,0,724,0,51,28,0,18,154,29,11,0,0,97,0,28,308,0,2,12,335,203,0,0,868,394,190,1050,0,41,758,0,15392,8,16,2,0,0,0,0,620,0,0,4,131,1,A
A12,0,25,0,910,0,0,0,127,0,228,5,0,2743,8344,0,5,18,268,34,0,0,0,0,783,0,61,21,0,17,181,27,17,0,0,67,0,27,280,0,6,7,392,188,0,0,911,280,130,729,6,34,748,0,10990,0,19,0,8,0,0,0,579,0,0,12,76,1,A
A13,0,12,0,475,0,0,4,114,23,280,88,0,8653,9939,0,0,120,1061,149,0,0,0,3,1963,0,160,9,5,57,518,128,19,0,6,37,0,30,395,0,7,0,665,326,0,4,1234,997,146,622,0,51,1501,0,12764,22,343,11,8,0,0,0,1107,5,0,125,110,2,A
A14,0,24,0,364,0,0,0,222,24,566,96,0,12887,7509,0,0,215,1132,288,0,0,0,0,2965,0,638,28,48,87,406,70,0,0,0,78,0,50,396,0,71,16,622,218,12,0,989,834,213,579,0,144,2802,0,17106,28,804,26,5,19,0,14,1879,12,0,106,127,2,A
A15,0,17,0,361,0,0,0,75,38,364,120,0,15737,4869,0,0,213,706,162,0,0,43,14,3218,0,221,37,0,83,462,53,9,0,0,221,0,121,217,0,18,4,331,198,0,0,2595,624,108,395,7,90,1778,0,13582,0,396,10,0,0,0,0,1302,9,0,300,75,2,A
A16,7,47,0,2777,15,9,30,379,216,293,36,0,12266,9298,0,35,428,2091,110,8,0,0,43,2751,0,492,293,23,66,504,225,222,0,33,1655,0,290,803,0,0,0,941,159,0,0,6008,1015,212,1322,5,140,2750,0,9126,39,153,19,4,0,0,10,1062,29,10,0,262,2,A
A17,0,386,0,62235,0,0,32,1387,429,5875,55,51,138689,166193,0,41,2017,8551,1932,9,0,79,0,83025,0,2108,2398,0,1592,7206,1006,279,0,85,1990,0,4747,12190,0,296,6,15176,5995,3,0,30269,17830,6758,17454,80,1284,75823,4,321982,243,1241,131,506,0,0,0,9055,60,0,536,2219,2,A
A18,0,46,0,7693,0,0,2,121,32,704,0,0,19652,16450,0,3,311,703,147,0,0,9,0,11753,0,239,318,0,120,794,36,0,0,10,224,0,1081,1430,0,28,0,2136,650,0,0,4520,1591,664,2310,8,113,9012,0,31896,14,136,8,48,0,0,0,889,0,0,77,269,2,A
A19,0,0,0,1306,0,0,16,675,13,184,0,21,3598,820,0,4,31,638,48,0,0,26,0,768,0,166,360,0,7,215,23,30,0,0,109,0,34,356,0,34,0,208,202,0,0,942,195,43,942,12,23,935,0,17635,0,8,0,8,0,0,0,414,0,0,7,127,2,A
A20,0,16,0,1544,0,0,12,500,5,386,0,4,3569,1096,0,7,27,618,57,0,0,44,0,1401,0,158,648,0,13,182,19,29,0,0,190,0,68,522,0,5,0,277,281,0,0,1030,245,49,944,0,19,1310,0,27819,0,34,4,0,0,0,0,409,0,0,17,251,2,A
A21,0,6,0,2047,0,0,7,345,0,320,0,64,5427,1061,0,0,38,424,14,0,0,36,0,1711,0,158,506,0,12,363,15,33,0,0,139,0,88,409,0,39,0,264,392,0,0,1194,373,48,1643,6,48,1508,0,26247,0,42,4,5,0,0,0,511,0,0,24,98,2,A
A22,0,0,0,648,0,0,0,39,4,480,0,0,3132,1678,0,0,54,168,20,0,0,17,0,1661,0,86,143,0,4,99,9,27,0,0,40,0,71,407,0,0,0,520,110,0,0,1097,269,119,1002,0,16,1354,0,28220,0,6,0,0,0,0,0,216,0,0,8,253,2,A
