sample_id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-1800_iter-1,depth-1800_iter-2,depth-1800_iter-3,depth-1800_iter-4,depth-1800_iter-5,depth-1800_iter-6,depth-1800_iter-7,depth-1800_iter-8,depth-1800_iter-9,depth-1800_iter-10,depth-3600_iter-1,depth-3600_iter-2,depth-3600_iter-3,depth-3600_iter-4,depth-3600_iter-5,depth-3600_iter-6,depth-3600_iter-7,depth-3600_iter-8,depth-3600_iter-9,depth-3600_iter-10,depth-5400_iter-1,depth-5400_iter-2,depth-5400_iter-3,depth-5400_iter-4,depth-5400_iter-5,depth-5400_iter-6,depth-5400_iter-7,depth-5400_iter-8,depth-5400_iter-9,depth-5400_iter-10,depth-7200_iter-1,depth-7200_iter-2,depth-7200_iter-3,depth-7200_iter-4,depth-7200_iter-5,depth-7200_iter-6,depth-7200_iter-7,depth-7200_iter-8,depth-7200_iter-9,depth-7200_iter-10,depth-9000_iter-1,depth-9000_iter-2,depth-9000_iter-3,depth-9000_iter-4,depth-9000_iter-5,depth-9000_iter-6,depth-9000_iter-7,depth-9000_iter-8,depth-9000_iter-9,depth-9000_iter-10,depth-10800_iter-1,depth-10800_iter-2,depth-10800_iter-3,depth-10800_iter-4,depth-10800_iter-5,depth-10800_iter-6,depth-10800_iter-7,depth-10800_iter-8,depth-10800_iter-9,depth-10800_iter-10,depth-12600_iter-1,depth-12600_iter-2,depth-12600_iter-3,depth-12600_iter-4,depth-12600_iter-5,depth-12600_iter-6,depth-12600_iter-7,depth-12600_iter-8,depth-12600_iter-9,depth-12600_iter-10,depth-14400_iter-1,depth-14400_iter-2,depth-14400_iter-3,depth-14400_iter-4,depth-14400_iter-5,depth-14400_iter-6,depth-14400_iter-7,depth-14400_iter-8,depth-14400_iter-9,depth-14400_iter-10,depth-16200_iter-1,depth-16200_iter-2,depth-16200_iter-3,depth-16200_iter-4,depth-16200_iter-5,depth-16200_iter-6,depth-16200_iter-7,depth-16200_iter-8,depth-16200_iter-9,depth-16200_iter-10,site
a1,1,1,1,1,1,1,1,1,1,1,590,587,583,608,576,571,584,592,599,600,747,735,738,759,754,738,751,761,768,748,810,802,801,823,813,802,809,807,807,811,845,850,852,840,842,855,854,849,843,854,866,884,873,863,874,874,881,877,868,868,887,896,884,891,887,884,890,888,883,894,897,899,893,902,903,899,902,910,895,903,915,911,911,913,903,907,906,913,908,912,910,914,915,920,914,916,915,916,912,910,A
a2,1,1,1,1,1,1,1,1,1,1,563,573,584,580,569,570,599,581,576,571,711,715,692,709,720,705,719,703,715,713,773,786,774,767,766,766,756,764,754,772,796,798,809,790,787,802,790,816,789,808,817,817,828,810,821,823,824,827,826,823,836,841,833,835,837,839,832,834,829,836,844,843,845,840,838,845,837,843,841,843,852,849,849,848,850,853,853,850,853,854,854,847,852,854,859,852,857,854,855,855,A
a3,1,1,1,1,1,1,1,1,1,1,615,620,631,625,622,583,623,618,618,603,777,758,753,780,777,783,783,781,791,763,834,839,843,844,837,858,838,841,852,855,886,882,896,881,889,888,890,908,881,877,926,911,911,918,903,923,918,925,910,906,927,934,934,929,924,925,922,925,931,924,939,945,947,935,939,944,941,939,946,937,950,943,947,949,952,941,951,950,947,955,953,954,957,956,957,955,957,957,951,958,A
a4,1,1,1,1,1,1,1,1,1,1,710,710,730,742,689,730,711,716,725,716,1096,1104,1095,1078,1114,1121,1116,1102,1161,1122,1418,1380,1396,1419,1399,1373,1381,1411,1400,1417,1669,1642,1620,1625,1640,1626,1634,1612,1659,1634,1863,1823,1818,1813,1857,1810,1854,1817,1820,1814,2005,2011,1975,1998,2020,1982,2022,2029,1993,1979,2140,2099,2139,2178,2120,2128,2120,2110,2120,2127,2207,2245,2260,2265,2251,2229,2230,2258,2235,2238,2367,2341,2338,2315,2352,2313,2361,2366,2365,2366,A
a5,1,1,1,1,1,1,1,1,1,1,597,632,629,639,615,620,604,631,655,622,959,936,944,921,956,980,937,963,968,918,1202,1178,1211,1178,1207,1225,1155,1209,1185,1212,1368,1410,1366,1385,1372,1363,1357,1355,1382,1351,1563,1507,1547,1575,1569,1567,1567,1531,1552,1569,1717,1700,1680,1632,1668,1694,1678,1649,1675,1679,1826,1814,1807,1786,1811,1783,1819,1824,1800,1798,1939,1910,1908,1887,1909,1877,1895,1918,1921,1958,2001,1988,2003,2006,1996,2032,1982,2014,1993,1982,A
a6,1,1,1,1,1,1,1,1,1,1,449,452,442,451,432,433,444,454,432,447,559,573,563,563,563,571,564,574,561,572,619,614,609,614,619,618,619,605,612,602,646,647,657,635,654,642,648,636,641,639,664,651,660,659,664,662,660,656,658,660,669,660,672,679,671,669,655,660,672,675,677,672,670,673,674,676,671,671,668,677,680,677,677,679,675,680,670,679,676,683,683,685,679,684,684,681,686,682,684,687,A
a7,1,1,1,1,1,1,1,1,1,1,357,336,334,349,358,351,342,358,338,351,422,410,424,415,416,417,423,417,424,415,446,444,443,443,443,440,444,451,438,444,454,454,452,455,459,459,452,454,458,452,461,458,458,463,462,456,460,461,458,457,462,466,463,463,464,462,465,465,462,463,466,464,465,465,464,465,466,466,462,464,464,465,463,465,465,466,466,466,465,465,466,466,466,466,466,466,466,466,466,465,A
a8,1,1,1,1,1,1,1,1,1,1,318,337,339,337,331,338,342,345,334,330,427,426,424,420,425,421,429,435,428,418,469,475,474,468,466,471,456,463,473,468,496,505,493,502,485,502,488,501,502,505,515,513,515,505,515,522,517,509,515,524,521,524,534,523,525,526,526,526,522,524,530,538,528,534,532,529,529,534,530,536,538,535,533,535,530,538,535,534,538,532,539,539,539,539,538,541,538,538,539,538,A
a9,1,1,1,1,1,1,1,1,1,1,380,373,369,359,356,357,358,386,360,368,489,481,507,468,500,503,494,496,503,483,559,566,556,572,562,577,584,554,579,572,615,605,622,608,619,601,612,601,599,608,635,642,652,642,651,647,639,633,645,654,676,656,680,652,663,666,666,670,663,674,670,678,683,691,671,682,683,686,678,678,696,691,685,701,688,700,684,693,700,691,699,704,701,700,702,701,703,704,705,698,A
a10,1,1,1,1,1,1,1,1,1,1,386,384,383,388,405,397,388,410,400,399,527,529,526,526,529,518,526,547,542,533,608,612,630,612,598,612,596,613,629,608,663,649,649,652,673,658,666,660,661,645,677,691,685,681,693,681,687,692,683,697,705,713,711,703,710,698,721,717,710,706,717,727,726,719,722,721,731,727,722,726,731,737,734,733,737,738,730,729,733,733,739,741,744,736,748,738,738,740,741,742,A
